bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,taxamount,fips,transactiondate,County
2.5,2,1348,343967,1979,3628.14,6059,2017-01-12,Orange County
2.0,3,1221,367034,1955,4589.6,6059,2017-01-12,Orange County
2.0,3,1462,79713,1950,1269.65,6037,2017-01-12,Los Angeles County
1.0,2,768,270458,1926,3373.09,6037,2017-01-12,Los Angeles County
4.0,4,3696,940251,1989,10313.18,6037,2017-01-12,Los Angeles County
1.0,2,927,197886,1942,2262.07,6037,2017-01-12,Los Angeles County
4.0,5,1976,344835,1969,4862.0,6037,2017-01-12,Los Angeles County
2.0,3,1780,420862,1969,5697.1,6037,2017-01-12,Los Angeles County
2.0,3,1445,280021,1955,3663.65,6037,2017-01-12,Los Angeles County
3.0,4,2622,432910,1987,5380.64,6059,2017-01-12,Orange County
3.0,3,2167,416092,2001,5775.52,6037,2017-01-12,Los Angeles County
2.5,3,2400,892000,1998,10265.52,6059,2017-01-12,Orange County
2.0,3,1907,893699,1959,10292.06,6059,2017-01-12,Orange County
2.0,3,1817,174757,1985,2194.97,6037,2017-01-12,Los Angeles County
2.0,3,1801,660451,1965,7475.48,6059,2017-01-12,Orange County
4.0,4,2954,735227,1924,9057.14,6037,2017-01-12,Los Angeles County
2.0,4,1390,429900,1962,4892.26,6059,2017-01-12,Orange County
1.0,2,823,148542,1986,2666.78,6037,2017-01-12,Los Angeles County
3.0,4,2966,654241,2001,8008.59,6037,2017-01-12,Los Angeles County
2.0,2,1540,456340,1938,5651.44,6037,2017-01-12,Los Angeles County
3.0,3,1925,522000,1979,6622.6,6037,2017-01-12,Los Angeles County
1.0,2,959,309818,1952,3776.7,6111,2017-01-12,Ventura County
1.5,3,1293,193379,1954,2588.92,6059,2017-01-12,Orange County
1.0,2,1113,766295,1928,9211.12,6037,2017-01-12,Los Angeles County
3.0,4,2365,83516,1955,1187.74,6059,2017-01-12,Orange County
3.0,6,1682,94289,1921,1223.99,6037,2017-01-12,Los Angeles County
3.0,4,2270,419327,1964,5103.99,6037,2017-01-12,Los Angeles County
2.0,4,1451,150793,1984,2698.65,6037,2017-01-12,Los Angeles County
2.0,3,1474,72644,1957,1306.56,6037,2017-01-12,Los Angeles County
2.0,3,1545,582528,1963,6608.42,6059,2017-01-12,Orange County
2.0,3,1407,82563,1964,784.88,6059,2017-01-12,Orange County
2.0,3,1275,316958,1963,3841.06,6059,2017-01-12,Orange County
2.0,3,1692,473664,2003,5538.2,6059,2017-01-12,Orange County
1.0,3,1141,494000,1944,5263.78,6111,2017-01-12,Ventura County
1.0,3,1312,239881,1953,3071.5,6111,2017-01-12,Ventura County
2.0,3,1240,646000,1962,7290.8,6059,2017-01-12,Orange County
1.0,2,1124,619302,1948,6859.85,6037,2017-01-12,Los Angeles County
2.0,4,2357,666000,1963,7872.53,6037,2017-01-12,Los Angeles County
